"검색문구","상태","위도","경도","검색결과주소","OSM종류","OSM_ID","오류"
"대한민국 경기도 수원시 팔달구 행궁동","OK","37.2840392","127.0126351","행궁동 행정복지센터, 40, 신풍로23번길, 행리단길, 신풍동, 팔달구, 수원시, 경기도, 16251, 대한민국","way","477908691",""
"대한민국 경기도 수원시 팔달구 화서동","OK","37.2811000","126.9996100","화서동, 팔달구, 수원시, 경기도, 16438, 대한민국","node","415155203",""
"대한민국 경기도 시흥시 거북섬동","NOT_FOUND","","","","","",""
"대한민국 경기도 시흥시 과림동","OK","37.4316874","126.8332027","과림동, 시흥시, 경기도, 대한민국","relation","13375643",""
"대한민국 경기도 시흥시 군자동","OK","37.3548600","126.7803814","군자동, 시흥시, 경기도, 대한민국","relation","13375078",""
"대한민국 경기도 시흥시 능곡동","OK","37.3653126","126.8100453","능곡동, 시흥시, 경기도, 대한민국","relation","13375077",""
"대한민국 경기도 시흥시 대야동","OK","37.4551254","126.8013314","대야동, 시흥시, 경기도, 대한민국","relation","13375641",""
"대한민국 경기도 시흥시 매화동","OK","37.4084185","126.8223887","매화동, 시흥시, 경기도, 대한민국","relation","13375644",""
"대한민국 경기도 시흥시 목감동","OK","37.3820885","126.8516086","목감동, 시흥시, 경기도, 대한민국","relation","13375645",""
"대한민국 경기도 시흥시 배곧동","OK","37.3675747","126.7218267","배곧동, 배곧2동, 시흥시, 경기도, 15011, 대한민국","node","8900612946",""
"대한민국 경기도 시흥시 신천동","OK","37.4396138","126.7788556","신천동, 시흥시, 경기도, 대한민국","relation","13375243",""
"대한민국 경기도 시흥시 신현동","OK","37.4119011","126.7732818","신현동, 시흥시, 경기도, 대한민국","relation","13375227",""
"대한민국 경기도 시흥시 연성동","OK","37.3881123","126.8064654","연성동, 시흥시, 경기도, 대한민국","relation","13375226",""
"대한민국 경기도 시흥시 월곶동","OK","37.3840960","126.7561360","월곶동, 시흥시, 경기도, 대한민국","relation","13375080",""
"대한민국 경기도 시흥시 은행동","OK","37.4334715","126.8093504","은행동, 시흥시, 경기도, 대한민국","relation","13375642",""
"대한민국 경기도 시흥시 장곡동","OK","37.3828263","126.7822238","장곡동, 시흥시, 경기도, 대한민국","relation","13375079",""
"대한민국 경기도 시흥시 정왕동","OK","37.3439240","126.7308801","정왕동, 정왕2동, 시흥시, 경기도, 15082, 대한민국","node","415154897",""
"대한민국 경기도 시흥시 정왕본동","OK","37.3571249","126.7506570","정왕본동, 시흥시, 경기도, 대한민국","relation","13375015",""
"대한민국 경기도 안산시 단원구 고잔동","OK","37.3157805","126.8311620","고잔동, 단원구, 안산시, 경기도, 15462, 대한민국","node","4705474256",""
"대한민국 경기도 안산시 단원구 대부동","OK","37.1987754","126.5772581","대부동, 단원구, 안산시, 경기도, 대한민국","relation","13355137",""
"대한민국 경기도 안산시 단원구 백운동","OK","37.3281411","126.7971017","백운동 행정복지센터, 31, 원선로, 원곡동, 단원구, 안산시, 경기도, 15380, 대한민국","way","750671499",""
"대한민국 경기도 안산시 단원구 선부동","OK","37.3393461","126.8100178","선부동, 단원구, 안산시, 경기도, 15232, 대한민국","node","4705475396",""
"대한민국 경기도 안산시 단원구 신길동","OK","37.3335204","126.7737800","신길동, 단원구, 안산시, 경기도, 15400, 대한민국","node","4705474260",""
"대한민국 경기도 안산시 단원구 와동","OK","37.3403332","126.8259970","와동, 단원구, 안산시, 경기도, 15254, 대한민국","node","4705475397",""
"대한민국 경기도 안산시 단원구 원곡동","OK","37.3304454","126.7959133","원곡동, 단원구, 안산시, 경기도, 15379, 대한민국","node","4705475395",""
"대한민국 경기도 안산시 단원구 중앙동","OK","37.3237428","126.8376124","중앙동 행정복지센터, 76, 예술대학로, 고잔동, 단원구, 안산시, 경기도, 15339, 대한민국","way","499485081",""
"대한민국 경기도 안산시 단원구 초지동","OK","37.3134845","126.8115434","초지동, 단원구, 안산시, 경기도, 15440, 대한민국","node","4705474257",""
"대한민국 경기도 안산시 단원구 호수동","OK","37.3094921","126.8313312","호수동 우체국, 186, 광덕2로, 고잔동, 단원구, 안산시, 경기도, 15477, 대한민국","node","12690998327",""
"대한민국 경기도 안산시 상록구 반월동","OK","37.3060928","126.9022330","반월동 행정복지센터, 51, 건건로, 건건동, 삼천리, 상록구, 안산시, 경기도, 15521, 대한민국","node","4633931026",""
"대한민국 경기도 안산시 상록구 본오동","OK","37.2928744","126.8668397","본오동, 상록구, 안산시, 경기도, 15550, 대한민국","node","4705474242",""
"대한민국 경기도 안산시 상록구 부곡동","OK","37.3297885","126.8630566","부곡동, 상록구, 안산시, 경기도, 15309, 대한민국","node","4705474247",""
"대한민국 경기도 안산시 상록구 사동","OK","37.2899559","126.8430878","사동, 상록구, 안산시, 경기도, 15590, 대한민국","node","4705474243",""
"대한민국 경기도 안산시 상록구 사이동","OK","37.2897822","126.8518634","사이동 행정복지센터, 52, 감골1로, 사동, 상록구, 안산시, 경기도, 15623, 대한민국","way","507434489",""
"대한민국 경기도 안산시 상록구 성포동","OK","37.3216873","126.8495703","성포동, 상록구, 안산시, 경기도, 15294, 대한민국","node","4705474246",""
"대한민국 경기도 안산시 상록구 안산동","OK","37.3619063","126.8733391","안산동 행정복지센터, 315, 장하로, 장하동, 상록구, 안산시, 경기도, 15204, 대한민국","node","7817995101",""
"대한민국 경기도 안산시 상록구 월피동","OK","37.3339358","126.8482051","월피동, 상록구, 안산시, 경기도, 15282, 대한민국","node","4705474248",""
"대한민국 경기도 안산시 상록구 이동","OK","37.3102303","126.8546722","이동, 상록구, 안산시, 경기도, 15508, 대한민국","node","4705474244",""
"대한민국 경기도 안산시 상록구 일동","OK","37.3097058","126.8688060","일동, 상록구, 안산시, 경기도, 15326, 대한민국","node","4705474245",""
"대한민국 경기도 안산시 상록구 해양동","OK","37.2946758","126.8200206","해양동 행정복지센터, 8, 해양로, 상록구, 안산시, 경기도, 15595, 대한민국","way","471297439",""
"대한민국 경기도 안성시 고삼면","OK","37.0871000","127.2705400","고삼면, 안성시, 경기도, 대한민국","relation","20272378",""
"대한민국 경기도 안성시 공도읍","OK","36.9915000","127.1721400","공도읍, 안성시, 경기도, 대한민국","relation","20272377",""
"대한민국 경기도 안성시 금광면","OK","36.9814400","127.3327700","금광면, 안성시, 경기도, 대한민국","relation","20272383",""
"대한민국 경기도 안성시 대덕면","OK","37.0354700","127.2395800","대덕면, 안성시, 경기도, 대한민국","relation","20272382",""
"대한민국 경기도 안성시 미양면","OK","36.9714600","127.2216400","미양면, 안성시, 경기도, 대한민국","relation","2703350",""
"대한민국 경기도 안성시 보개면","OK","37.0452500","127.3095700","보개면, 안성시, 경기도, 17509, 대한민국","relation","20272376",""
"대한민국 경기도 안성시 삼죽면","OK","37.0679800","127.3676400","삼죽면, 안성시, 경기도, 대한민국","relation","20272379",""
"대한민국 경기도 안성시 서운면","OK","36.9428185","127.2553093","서운면, 안성시, 경기도, 대한민국","relation","2703335",""
"대한민국 경기도 안성시 안성동","NOT_FOUND","","","","","",""
"대한민국 경기도 안성시 양성면","OK","37.0715600","127.2148600","양성면, 안성시, 경기도, 대한민국","relation","20272380",""
"대한민국 경기도 안성시 원곡면","OK","37.0498578","127.1376566","원곡면, 안성시, 경기도, 대한민국","relation","20272381",""
"대한민국 경기도 안성시 일죽면","OK","37.0913900","127.4709100","일죽면, 안성시, 경기도, 대한민국","relation","20272385",""
"대한민국 경기도 안성시 죽산면","OK","37.0677159","127.4183430","죽산면, 안성시, 경기도, 대한민국","relation","20272384",""
"대한민국 경기도 안양시 동안구 갈산동","OK","37.3761398","126.9661539","갈산동, 평촌, 동안구, 안양시, 경기도, 대한민국","relation","9503156",""
"대한민국 경기도 안양시 동안구 관양동","OK","37.4043622","126.9641500","관양동, 관양1동, 평촌, 동안구, 안양시, 경기도, 13947, 대한민국","node","6417602048",""
"대한민국 경기도 안양시 동안구 귀인동","OK","37.3855259","126.9695096","귀인동, 평촌, 동안구, 안양시, 경기도, 대한민국","relation","9503155",""
"대한민국 경기도 안양시 동안구 달안동","OK","37.3960996","126.9501721","달안동, 평촌, 동안구, 안양시, 경기도, 대한민국","relation","9503148",""
"대한민국 경기도 안양시 동안구 범계동","OK","37.3897612","126.9525181","범계동, 평촌, 동안구, 안양시, 경기도, 대한민국","relation","9503153",""
"대한민국 경기도 안양시 동안구 부림동","OK","37.3987517","126.9594554","부림동, 평촌, 동안구, 안양시, 경기도, 대한민국","relation","9503147",""
"대한민국 경기도 안양시 동안구 부흥동","OK","37.3936710","126.9471645","부흥동, 평촌, 동안구, 안양시, 경기도, 대한민국","relation","9503149",""
"대한민국 경기도 안양시 동안구 비산동","OK","37.4011874","126.9428157","비산동, 비산3동, 평촌, 동안구, 안양시, 경기도, 13926, 대한민국","node","6417602047",""
"대한민국 경기도 안양시 동안구 신촌동","OK","37.3817868","126.9563074","신촌동, 평촌, 동안구, 안양시, 경기도, 대한민국","relation","9503152",""
"대한민국 경기도 안양시 동안구 인덕원동","NOT_FOUND","","","","","",""
"대한민국 경기도 안양시 동안구 평안동","OK","37.3903987","126.9643258","평안동, 평촌, 동안구, 안양시, 경기도, 대한민국","relation","9503151",""
"대한민국 경기도 안양시 동안구 평촌동","OK","37.3946757","126.9771614","평촌동, 평촌, 동안구, 안양시, 경기도, 대한민국","relation","9503150",""
"대한민국 경기도 안양시 동안구 호계동","OK","37.3779842","126.9543224","호계동, 호계2동, 평촌, 동안구, 안양시, 경기도, 14114, 대한민국","node","6417602050",""
"대한민국 경기도 안양시 만안구 명학동","NOT_FOUND","","","","","",""
"대한민국 경기도 안양시 만안구 박달동","OK","37.4022354","126.8956585","박달동, 만안구, 안양시, 경기도, 14015, 대한민국","node","4705475480",""
"대한민국 경기도 안양시 만안구 병목안동","NOT_FOUND","","","","","",""
"대한민국 경기도 안양시 만안구 석수동","OK","37.4201369","126.9061259","석수동, 만안구, 안양시, 경기도, 13962, 대한민국","node","4705475479",""
"대한민국 경기도 안양시 만안구 안양동","OK","37.3976904","126.9225717","안양동, 만안구, 안양시, 경기도, 13997, 대한민국","node","4705475481",""
"대한민국 경기도 안양시 만안구 충훈동","NOT_FOUND","","","","","",""
"대한민국 경기도 안양시 만안구 호현동","NOT_FOUND","","","","","",""
"대한민국 경기도 양주시 광적면","OK","37.8245077","126.9838784","광적면, 양주시, 경기도, 대한민국","relation","11560108",""
"대한민국 경기도 양주시 남면","OK","37.8979205","126.9765995","남면, 양주시, 경기도, 대한민국","relation","12736891",""
"대한민국 경기도 양주시 백석읍","OK","37.7948404","126.9855291","백석읍, 양주시, 경기도, 대한민국","relation","10657270",""
"대한민국 경기도 양주시 양주동","NOT_FOUND","","","","","",""
"대한민국 경기도 양주시 옥정동","OK","37.8207524","127.0869850","옥정동, 옥정2동, 옥정신도시, 양주시, 경기도, 11471, 대한민국","node","415152884",""
"대한민국 경기도 양주시 은현면","OK","37.8749598","127.0245042","은현면, 양주시, 경기도, 대한민국","relation","12737203",""
"대한민국 경기도 양주시 장흥면","OK","37.7177729","126.9412400","장흥면, 양주시, 경기도, 대한민국","relation","12736890",""
"대한민국 경기도 양주시 회천동","NOT_FOUND","","","","","",""
"대한민국 경기도 양평군 강상면","OK","37.4626300","127.4702700","강상면, 양평군, 경기도, 12572, 대한민국","node","415155132",""
"대한민국 경기도 양평군 강하면","OK","37.4696200","127.4056600","강하면, 양평군, 경기도, 12574, 대한민국","node","415155125",""
"대한민국 경기도 양평군 개군면","OK","37.4419737","127.5455780","개군면, 양평군, 경기도, 12568, 대한민국","node","415154776",""
"대한민국 경기도 양평군 단월면","OK","37.5876528","127.6363952","단월면, 양평군, 경기도, 12528, 대한민국","node","415153306",""
"대한민국 경기도 양평군 서종면","OK","37.6077900","127.4094200","서종면, 양평군, 경기도, 12501, 대한민국","node","415153529",""
"대한민국 경기도 양평군 양동면","OK","37.4466098","127.7392521","양동면, 양평군, 경기도, 12539, 대한민국","node","415154801",""
"대한민국 경기도 양평군 양서면","OK","37.5433928","127.3231712","양서면, 양평군, 경기도, 12585, 대한민국","node","415153521",""
"대한민국 경기도 양평군 양평읍","OK","37.4868673","127.4939730","양평읍, 양평군, 경기도, 12562, 대한민국","node","415154779",""
"대한민국 경기도 양평군 옥천면","OK","37.5179878","127.4560689","옥천면, 양평군, 경기도, 12507, 대한민국","node","4920826560",""
"대한민국 경기도 양평군 용문면","OK","37.5022823","127.5915757","용문면, 양평군, 경기도, 12515, 대한민국","node","415153313",""
"대한민국 경기도 양평군 지평면","OK","37.4476065","127.6425328","지평면, 양평군, 경기도, 12541, 대한민국","node","415154794",""
"대한민국 경기도 양평군 청운면","OK","37.5522302","127.7433406","청운면, 양평군, 경기도, 12530, 대한민국","node","415153370",""
"대한민국 경기도 여주시 가남읍","OK","37.2128600","127.5772400","가남읍, 여주시, 경기도, 12656, 대한민국","node","415155885",""
"대한민국 경기도 여주시 강천면","OK","37.2754700","127.7166200","강천면, 여주시, 경기도, 12616, 대한민국","node","415154818",""
"대한민국 경기도 여주시 금사면","OK","37.3990700","127.5023300","금사면, 여주시, 경기도, 12601, 대한민국","node","415154762",""
"대한민국 경기도 여주시 대신면","OK","37.3829300","127.5979900","대신면, 여주시, 경기도, 12608, 대한민국","node","415154732",""
"대한민국 경기도 여주시 북내면","OK","37.3470100","127.6806200","북내면, 여주시, 경기도, 12614, 대한민국","node","415154826",""
"대한민국 경기도 여주시 산북면","OK","37.4069039","127.4486074","산북면, 여주시, 경기도, 12603, 대한민국","node","415155146",""
"대한민국 경기도 여주시 세종대왕면","OK","37.2907700","127.5734000","세종대왕면, 여주시, 경기도, 12641, 대한민국","node","415154699",""
"대한민국 경기도 여주시 여흥동","OK","37.2950808","127.6398834","여흥동 행정복지센터, 148, 여흥로, 상동, 여주시, 경기도, 12628, 대한민국","node","7825497218",""
"대한민국 경기도 여주시 오학동","OK","37.3109191","127.6455998","오학동, 현암3리, 여주시, 경기도, 12637, 대한민국","node","415154719",""
"대한민국 경기도 여주시 점동면","OK","37.1912700","127.6815200","점동면, 여주시, 경기도, 12666, 대한민국","node","415155897",""
"대한민국 경기도 여주시 중앙동","OK","37.2986860","127.6289512","중앙동 행정복지센터, 26, 여흥로11번길, 하동, 여주시, 경기도, 12623, 대한민국","node","7825497217",""
"대한민국 경기도 여주시 흥천면","OK","37.3465800","127.5314200","흥천면, 여주시, 경기도, 12607, 대한민국","node","415154758",""
"대한민국 경기도 연천군 군남면","OK","38.0727312","127.0362672","군남면, 연천군, 경기도, 대한민국","relation","8727150",""
"대한민국 경기도 연천군 미산면","OK","38.0341500","126.9781600","미산면, 연천군, 경기도, 대한민국","relation","8727153",""
"대한민국 경기도 연천군 백학면","OK","38.0246253","126.8987729","백학면, 연천군, 경기도, 11048, 대한민국","relation","8727155",""
"대한민국 경기도 연천군 신서면","OK","38.1955620","127.1022950","신서면, 연천군, 경기도, 11000, 대한민국","relation","8727149",""
"대한민국 경기도 연천군 연천읍","OK","38.1039198","127.0756497","연천읍, 연천군, 경기도, 대한민국","relation","8727148",""
"대한민국 경기도 연천군 왕징면","OK","38.0958056","126.9337624","왕징면, 연천군, 경기도, 11044, 대한민국","relation","8727152",""
"대한민국 경기도 연천군 장남면","OK","37.9910400","126.8469600","장남면, 연천군, 경기도, 11050, 대한민국","relation","8727154",""
"대한민국 경기도 연천군 전곡읍","OK","37.9950067","127.0374364","전곡읍, 연천군, 경기도, 대한민국","relation","8727147",""
"대한민국 경기도 연천군 중면","OK","38.1588167","127.0174264","중면, 연천군, 경기도, 11004, 대한민국","relation","8727151",""
"대한민국 경기도 연천군 청산면","OK","38.0148200","127.1058100","청산면, 연천군, 경기도, 대한민국","relation","8727146",""
"대한민국 경기도 오산시 남촌동","OK","37.1545903","127.0634894","남촌동 행정복지센터, 55-5, 청학로, 청학동, 오산시, 경기도, 18119, 대한민국","node","368902029",""
"대한민국 경기도 오산시 대원동","OK","37.1386110","127.0717379","대원동 행정복지센터, 28, 오산로132번길, 갈곶동, 오산시, 경기도, 18143, 대한민국","node","368902021",""
"대한민국 경기도 오산시 세마동","OK","37.1883126","127.0408128","세마동 행정복지센터, 419, 독산성로, 세교동, 오산시, 경기도, 18105, 대한민국","node","7822517708",""
"대한민국 경기도 오산시 신장동","OK","37.1766365","127.0545602","신장동 행정복지센터, 45, 수청로, 내삼미동, 오산시, 경기도, 18108, 대한민국","way","468565757",""
"대한민국 경기도 오산시 중앙동","OK","37.1523481","127.0731353","중앙동 행정복지센터, 307, 경기대로, 은계동, 오산시, 경기도, 18135, 대한민국","node","368902033",""
"대한민국 경기도 오산시 초평동","OK","37.1400664","127.0440104","초평동 행정복지센터, 77, 초평중앙로, 탑동, 오산시, 경기도, 18127, 대한민국","node","368902026",""
"대한민국 경기도 용인시 기흥구 구갈동","OK","37.2748500","127.1225900","구갈동, 기흥구, 용인시, 경기도, 17066, 대한민국","node","415155226",""
"대한민국 경기도 용인시 기흥구 구성동","OK","37.2967589","127.1190441","구성동 행정복지센터, 17, 구성로77번길, 마북동, 기흥구, 용인시, 경기도, 16917, 대한민국","way","424516090",""
"대한민국 경기도 용인시 기흥구 기흥동","OK","37.2314789","127.1155335","기흥동 행정복지센터, 12-14, 고매로43번길, 공세동, 기흥구, 용인시, 경기도, 17085, 대한민국","way","469017699",""
"대한민국 경기도 용인시 기흥구 동백동","OK","37.2857563","127.1594247","동백동, 기흥구, 용인시, 경기도, 17000, 대한민국","node","4686284673",""
"대한민국 경기도 용인시 기흥구 마북동","OK","37.3003279","127.1170325","마북동, 기흥구, 용인시, 경기도, 16909, 대한민국","node","415155239",""
"대한민국 경기도 용인시 기흥구 보라동","OK","37.2527118","127.1143984","보라동, 기흥구, 용인시, 경기도, 17079, 대한민국","node","415156446",""
"대한민국 경기도 용인시 기흥구 보정동","OK","37.3185389","127.1156843","보정동, 기흥구, 용인시, 경기도, 16898, 대한민국","node","415155240",""
"대한민국 경기도 용인시 기흥구 상갈동","OK","37.2649800","127.1147000","상갈동, 기흥구, 용인시, 경기도, 17068, 대한민국","node","415155224",""
"대한민국 경기도 용인시 기흥구 상하동","OK","37.2636069","127.1400337","상하동, 기흥구, 용인시, 경기도, 17070, 대한민국","node","415155228",""
"대한민국 경기도 용인시 기흥구 서농동","OK","37.2380035","127.0682692","서농동 행정복지센터, 79, 서천서로, 서천동, 기흥구, 용인시, 경기도, 17109, 대한민국","way","801815061",""
"대한민국 경기도 용인시 기흥구 신갈동","OK","37.2784708","127.1023373","신갈동, 기흥구, 용인시, 경기도, 16969, 대한민국","node","415155223",""
"대한민국 경기도 용인시 기흥구 영덕동","OK","37.2730290","127.0812559","영덕동, 기흥구, 용인시, 경기도, 16950, 대한민국","node","415155216",""
"대한민국 경기도 용인시 수지구 동천동","OK","37.3403800","127.0856400","동천동, 신봉동, 수지구, 용인시, 경기도, 16822, 대한민국","node","415155214",""
"대한민국 경기도 용인시 수지구 상현동","OK","37.3031800","127.0770400","상현동, 신봉동, 수지구, 용인시, 경기도, 16862, 대한민국","node","415155218",""
"대한민국 경기도 용인시 수지구 성복동","OK","37.3160035","127.0710645","성복동 수호수 느티나무, 신봉동, 수지구, 용인시, 경기도, 대한민국","way","469067481",""
"대한민국 경기도 용인시 수지구 신봉동","OK","37.3206926","127.0833645","신봉동, 수지구, 용인시, 경기도, 16845, 대한민국","node","8530589799",""
"대한민국 경기도 용인시 수지구 죽전동","OK","37.3292000","127.1163100","죽전동, 신봉동, 수지구, 용인시, 경기도, 16872, 대한민국","node","415155241",""
"대한민국 경기도 용인시 수지구 풍덕천동","OK","37.3239700","127.0949500","풍덕천동, 신봉동, 수지구, 용인시, 경기도, 16837, 대한민국","node","415155238",""
"대한민국 경기도 용인시 처인구 남사읍","OK","37.1157224","127.1504900","남사읍 행정복지센터, 22, 봉무로15번길, 처인구, 용인시, 경기도, 17118, 대한민국","node","7816846161",""
"대한민국 경기도 용인시 처인구 동부동","OK","37.2328948","127.2191825","동부동 행정복지센터, 1574, 중부대로, 마평동, 처인구, 용인시, 경기도, 17144, 대한민국","way","478289677",""
"대한민국 경기도 용인시 처인구 모현읍","OK","37.3297000","127.2170300","모현읍, 처인구, 용인시, 경기도, 대한민국","relation","14068557",""
"대한민국 경기도 용인시 처인구 백암면","OK","37.1634125","127.3754054","백암면 행정복지센터, 189, 백암로, 처인구, 용인시, 경기도, 17178, 대한민국","node","7816846158",""
"대한민국 경기도 용인시 처인구 삼가동","OK","37.2406000","127.1660600","삼가동, 처인구, 용인시, 경기도, 17091, 대한민국","node","415156453",""
"대한민국 경기도 용인시 처인구 양지읍","OK","37.2354917","127.2798585","양지읍 행정복지센터, 5, 양지로105번길, 처인구, 용인시, 경기도, 17158, 대한민국","node","7816846157",""
"대한민국 경기도 용인시 처인구 역북동","OK","37.2357419","127.1886075","역북동, 처인구, 용인시, 경기도, 17055, 대한민국","node","415156461",""
"대한민국 경기도 용인시 처인구 원삼면","OK","37.1665125","127.3133844","원삼면 행정복지센터, 64, 원양로, 용인 반도체클러스터 일반산업단지, 처인구, 용인시, 경기도, 17168, 대한민국","way","988839843",""
"대한민국 경기도 용인시 처인구 유림동","OK","37.2573755","127.2125964","유림동.방축, 백옥대로, 유방동, 처인구, 용인시, 경기도, 17041, 대한민국","node","13403781296",""
"대한민국 경기도 용인시 처인구 이동읍","OK","37.1411028","127.1962022","이동읍 행정복지센터, 673, 경기동로, 처인구, 용인시, 경기도, 17136, 대한민국","node","7816846160",""
"대한민국 경기도 용인시 처인구 중앙동","NOT_FOUND","","","","","",""
"대한민국 경기도 용인시 처인구 포곡읍","OK","37.2778094","127.2308608","포곡읍 행정복지센터, 258, 포곡로, 처인구, 용인시, 경기도, 17028, 대한민국","node","7816846163",""
"대한민국 경기도 의왕시 고천동","OK","37.3414144","126.9872221","고천동, 의왕시, 경기도, 대한민국","relation","7778140",""
"대한민국 경기도 의왕시 내손동","OK","37.3821161","126.9790943","내손동, 내손2동, 의왕시, 경기도, 16031, 대한민국","node","4705475457",""
"대한민국 경기도 의왕시 부곡동","OK","37.3237611","126.9568136","부곡동, 의왕시, 경기도, 대한민국","relation","7456875",""
"대한민국 경기도 의왕시 오전동","OK","37.3610269","126.9826253","오전동, 의왕시, 경기도, 대한민국","relation","7778139",""
"대한민국 경기도 의왕시 청계동","OK","37.3843639","127.0117299","청계동, 의왕시, 경기도, 대한민국","relation","8814616",""
"대한민국 경기도 의정부시 가능동","OK","37.7495468","127.0322159","가능동, 의정부시, 경기도, 대한민국","relation","15572150",""
"대한민국 경기도 의정부시 고산동","OK","37.7314300","127.1043300","고산동, 의정부시, 경기도, 11801, 대한민국","node","415154148",""
"대한민국 경기도 의정부시 녹양동","OK","37.7632835","127.0341847","녹양동, 의정부시, 경기도, 대한민국","relation","15571726",""
"대한민국 경기도 의정부시 송산동","OK","37.7199369","127.1017226","고산동.빼뻘, 송산로, 용현동, 의정부시, 경기도, 11799, 대한민국","node","357865975",""
"대한민국 경기도 의정부시 신곡동","OK","37.7374524","127.0600135","신곡동, 신곡2동, 의정부시, 경기도, 11747, 대한민국","node","415154140",""
"대한민국 경기도 의정부시 의정부동","OK","37.7393544","127.0464579","의정부동, 의정부1동, 의정부시, 경기도, 11696, 대한민국","node","415154141",""
"대한민국 경기도 의정부시 자금동","OK","37.7620045","127.0816396","자금동, 의정부시, 경기도, 대한민국","relation","18146452",""
"대한민국 경기도 의정부시 장암동","OK","37.7069742","127.0617178","장암동, 의정부시, 경기도, 대한민국","relation","15572154",""
"대한민국 경기도 의정부시 호원동","OK","37.7174363","127.0396935","호원동, 호원1동, 의정부시, 경기도, 11641, 대한민국","node","415154137",""
"대한민국 경기도 의정부시 흥선동","OK","37.7365815","127.0174955","흥선동, 의정부시, 경기도, 대한민국","relation","15572152",""
"대한민국 경기도 이천시 관고동","OK","37.2865789","127.4204930","관고동, 이천시, 경기도, 대한민국","relation","20275030",""
"대한민국 경기도 이천시 대월면","OK","37.2144300","127.5004400","대월면, 이천시, 경기도, 대한민국","relation","20275033",""
"대한민국 경기도 이천시 마장면","OK","37.2497263","127.3634125","마장면, 이천시, 경기도, 대한민국","relation","20275040",""
"대한민국 경기도 이천시 모가면","OK","37.1730510","127.4662734","모가면, 이천시, 경기도, 17408, 대한민국","relation","20275034",""
"대한민국 경기도 이천시 백사면","OK","37.3244400","127.4862800","백사면, 이천시, 경기도, 대한민국","relation","20275039",""
"대한민국 경기도 이천시 부발읍","OK","37.2834010","127.4872796","부발읍, 이천시, 경기도, 대한민국","relation","20275036",""
"대한민국 경기도 이천시 설성면","OK","37.1401200","127.5247100","설성면, 이천시, 경기도, 17411, 대한민국","relation","20275041",""
"대한민국 경기도 이천시 신둔면","OK","37.3105300","127.4072900","신둔면, 이천시, 경기도, 대한민국","relation","20275038",""
"대한민국 경기도 이천시 율면","OK","37.0937144","127.5482665","율면, 이천시, 경기도, 17423, 대한민국","relation","20275042",""
"대한민국 경기도 이천시 장호원읍","OK","37.1318100","127.5969800","장호원읍, 이천시, 경기도, 대한민국","relation","20275035",""
"대한민국 경기도 이천시 중리동","OK","37.2380787","127.4588829","중리동, 이천시, 경기도, 대한민국","relation","20275028",""
"대한민국 경기도 이천시 증포동","OK","37.2886953","127.4558688","증포동, 이천시, 경기도, 대한민국","relation","20275029",""
"대한민국 경기도 이천시 창전동","OK","37.2830213","127.4473830","창전동, 이천시, 경기도, 대한민국","relation","20275032",""
"대한민국 경기도 이천시 호법면","OK","37.2170000","127.4184300","호법면, 이천시, 경기도, 대한민국","relation","20275037",""
"대한민국 경기도 파주시 광탄면","OK","37.7797029","126.8821362","광탄면, 파주시, 경기도, 대한민국","relation","8530818",""
"대한민국 경기도 파주시 교하동","OK","37.7260940","126.7019257","교하동, 파주시, 경기도, 대한민국","relation","8530812",""
"대한민국 경기도 파주시 금촌동","OK","37.7584627","126.7697535","금촌동, 금촌1동, 파주시, 경기도, 10926, 대한민국","node","415152746",""
"대한민국 경기도 파주시 문산읍","OK","37.8637399","126.7819766","문산읍, 파주시, 경기도, 대한민국","relation","8530821",""
"대한민국 경기도 파주시 법원읍","OK","37.8656000","126.8905700","법원읍, 파주시, 경기도, 대한민국","relation","8530807",""
"대한민국 경기도 파주시 운정동","NOT_FOUND","","","","","",""
"대한민국 경기도 파주시 월롱면","OK","37.7978400","126.7909200","월롱면, 파주시, 경기도, 대한민국","relation","8530816",""
"대한민국 경기도 파주시 장단면","OK","37.8769367","126.7123046","장단면, 파주시, 경기도, 대한민국","relation","8528010",""
"대한민국 경기도 파주시 적성면","OK","37.9661500","126.9245393","적성면, 파주시, 경기도, 대한민국","relation","8530822",""
"대한민국 경기도 파주시 조리읍","OK","37.7532481","126.8140871","조리읍, 파주시, 경기도, 대한민국","relation","8530808",""
"대한민국 경기도 파주시 탄현면","OK","37.8091900","126.7101500","탄현면, 파주시, 경기도, 대한민국","relation","8530820",""
"대한민국 경기도 파주시 파주읍","OK","37.8292632","126.8164928","파주읍, 파주시, 경기도, 대한민국","relation","8530817",""
"대한민국 경기도 파주시 파평면","OK","37.9141511","126.8527670","파평면, 파주시, 경기도, 대한민국","relation","8530823",""
"대한민국 경기도 평택시 고덕동","OK","37.0480854","127.0363555","고덕동, 평택시, 경기도, 18007, 대한민국","node","415156315",""
"대한민국 경기도 평택시 고덕면","OK","37.0334835","127.0132264","고덕면, 평택시, 경기도, 18021, 대한민국","node","415156317",""
"대한민국 경기도 평택시 동삭동","OK","37.0152300","127.0998600","동삭동, 평택시, 경기도, 17848, 대한민국","node","415156337",""
"대한민국 경기도 평택시 비전동","OK","37.0008941","127.1007780","비전동, 평택시, 경기도, 17851, 대한민국","node","415158075",""
"대한민국 경기도 평택시 서정동","OK","37.0678815","127.0546499","서정동, 송탄, 당현리, 평택시, 경기도, 17772, 대한민국","node","415156318",""
